teste,hardware,tamanho,batch,repeticoes,tempo_medio_ms,tempo_mediana_ms,tempo_desvio_ms,tempo_min_ms,tempo_max_ms,tempo_p95_ms,throughput_itens_s,speedup_cuda_vs_cpu,memoria_inicio_mb,memoria_fim_mb,gpu_peak_mb,status,observacao,arquivo_origem,modelo,pretrained,categoria_tarefa,execucoes,tempo_total_ms_media,tempo_total_ms_p95,tokens_por_segundo_media,tokens_gerados_media,taxa_falha,ram_processo_mb_pico_medio,gpu_media_media,vram_mb_pico_medio
limite_matmul_cuda,CUDA,4096,na,10.0,71.5491,68.6553,6.3071,68.3329,87.8112,82.9833,,,724.14,724.15,264.12,ok,Teste de limite da GPU com multiplicacao de matrizes em CUDA.,benchmark_limite_gpu.csv,,,,,,,,,,,,
torch_cnn_sintetico,CPU,3x224x224,1,10.0,7.8783,7.6876,1.3068,6.0415,10.076,10.0076,126.9309,,532.73,532.9,0.0,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_cnn_sintetico,CPU,3x224x224,8,10.0,38.629,38.0125,4.0752,34.3606,45.4256,44.7265,207.0983,,583.8,602.25,0.0,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_cnn_sintetico,CPU,3x224x224,16,10.0,74.2419,70.4865,10.8474,64.2035,96.7273,91.3029,215.5117,,653.38,653.38,0.0,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_cnn_sintetico,CPU,3x224x224,32,10.0,138.5631,130.6682,19.603,121.8539,179.6415,173.8657,230.9417,,745.17,941.31,0.0,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_cnn_sintetico,CUDA,3x224x224,1,10.0,0.9697,1.0236,0.1859,0.6873,1.2198,1.183,1031.2468,8.1245,1263.27,1263.49,14.92,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_cnn_sintetico,CUDA,3x224x224,8,10.0,4.4862,4.501,0.0587,4.4072,4.5652,4.558,1783.2464,8.6106,1283.34,1283.36,61.81,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_cnn_sintetico,CUDA,3x224x224,16,10.0,8.7625,8.7488,0.0665,8.6745,8.8533,8.8525,1825.9629,8.4727,1284.11,1284.12,117.41,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_cnn_sintetico,CUDA,3x224x224,32,10.0,17.2329,17.2108,0.0646,17.183,17.3796,17.3441,1856.9132,8.0406,1290.55,1290.55,222.6,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_modelo_real_inferencia,CPU,3x224x224,1,10.0,21.0679,18.3187,6.0622,16.5153,35.3038,30.8144,47.4656,,648.46,648.88,0.0,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
