teste,modelo,pretrained,hardware,tamanho,batch,repeticoes,tempo_medio_ms,tempo_mediana_ms,tempo_desvio_ms,tempo_min_ms,tempo_max_ms,tempo_p95_ms,throughput_itens_s,speedup_cuda_vs_cpu,gpu_peak_mb,status,observacao
torch_cnn_sintetico,,,CUDA,3x224x224,32,10.0,17.2329,17.2108,0.0646,17.183,17.3796,17.3441,1856.9132,8.0406,222.6,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia."
torch_modelo_real_inferencia,mobilenet_v2,False,CPU,3x224x224,1,10.0,21.0679,18.3187,6.0622,16.5153,35.3038,30.8144,47.4656,,0.0,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,mobilenet_v2,False,CPU,3x224x224,8,10.0,85.9452,84.1719,8.653,75.3094,104.2895,98.6857,93.0826,,0.0,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,mobilenet_v2,False,CPU,3x224x224,16,10.0,161.7966,157.7057,12.1765,150.1504,184.3518,184.0124,98.8896,,0.0,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,mobilenet_v2,False,CPU,3x224x224,32,10.0,342.2491,343.5502,57.2113,285.1388,475.7456,428.6694,93.4992,,0.0,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,mobilenet_v2,False,CUDA,3x224x224,1,10.0,23.7166,22.7522,4.6768,18.0399,32.6213,31.5811,42.1646,0.8883,32.23,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,mobilenet_v2,False,CUDA,3x224x224,8,10.0,20.1475,18.9458,4.0597,17.3159,29.8572,27.4274,397.0716,4.2658,105.95,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,mobilenet_v2,False,CUDA,3x224x224,16,10.0,32.7741,32.7695,0.2069,32.4347,33.226,33.0767,488.1904,4.9367,191.2,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,mobilenet_v2,False,CUDA,3x224x224,32,10.0,64.791,64.7412,0.1741,64.5132,65.1338,65.057,493.8958,5.2824,361.7,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,resnet18,False,CPU,3x224x224,1,10.0,75.9228,70.9985,12.2441,63.1401,98.6396,96.6808,13.1713,,not_available,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,resnet18,False,CPU,3x224x224,8,10.0,370.311,362.844,24.7237,336.7397,410.575,403.1713,21.6035,,not_available,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,resnet18,False,CPU,3x224x224,16,10.0,655.0048,663.8289,47.5345,577.9446,720.4238,708.8557,24.4273,,not_available,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,resnet18,False,CPU,3x224x224,32,10.0,1224.0703,1224.9277,14.2682,1205.2985,1244.277,1242.6853,26.1423,,not_available,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,resnet18,False,CUDA,3x224x224,1,10.0,8.2802,8.1932,0.2771,7.926,8.7685,8.6867,120.77,9.1692,63.98,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,resnet18,False,CUDA,3x224x224,8,10.0,15.9859,15.9615,0.0674,15.9134,16.1035,16.0782,500.441,23.1649,107.32,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,resnet18,False,CUDA,3x224x224,16,10.0,29.4542,29.4207,0.1165,29.2364,29.6105,29.6078,543.2162,22.2381,162.95,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
torch_modelo_real_inferencia,resnet18,False,CUDA,3x224x224,32,10.0,55.3696,55.3813,0.2483,54.9295,55.6739,55.667,577.9345,22.1073,268.2,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia."
,gemma3:1b,,,,,,,,,,,,,,,ok,
,gemma3:1b,,,,,,,,,,,,,,,ok,
,gemma3:1b,,,,,,,,,,,,,,,ok,
,gemma3:1b,,,,,,,,,,,,,,,ok,
,gemma3:1b,,,,,,,,,,,,,,,ok,
,gemma3:1b,,,,,,,,,,,,,,,ok,
,gemma3:1b,,,,,,,,,,,,,,,ok,
,gemma3:1b,,,,,,,,,,,,,,,ok,
,gemma3:1b,,,,,,,,,,,,,,,ok,
,llama3.2:1b,,,,,,,,,,,,,,,ok,
,llama3.2:1b,,,,,,,,,,,,,,,ok,
,llama3.2:1b,,,,,,,,,,,,,,,ok,
,llama3.2:1b,,,,,,,,,,,,,,,ok,
,llama3.2:1b,,,,,,,,,,,,,,,ok,
,llama3.2:1b,,,,,,,,,,,,,,,ok,
,llama3.2:1b,,,,,,,,,,,,,,,ok,
,llama3.2:1b,,,,,,,,,,,,,,,ok,
,llama3.2:1b,,,,,,,,,,,,,,,ok,
,llama3.2:3b,,,,,,,,,,,,,,,ok,
,llama3.2:3b,,,,,,,,,,,,,,,ok,
,llama3.2:3b,,,,,,,,,,,,,,,ok,
,llama3.2:3b,,,,,,,,,,,,,,,ok,
,llama3.2:3b,,,,,,,,,,,,,,,ok,
,llama3.2:3b,,,,,,,,,,,,,,,ok,
,llama3.2:3b,,,,,,,,,,,,,,,ok,
,llama3.2:3b,,,,,,,,,,,,,,,ok,
,llama3.2:3b,,,,,,,,,,,,,,,ok,
,gemma3:4b,,,,,,,,,,,,,,,ok,
,gemma3:4b,,,,,,,,,,,,,,,ok,
,gemma3:4b,,,,,,,,,,,,,,,ok,
,gemma3:4b,,,,,,,,,,,,,,,ok,
,gemma3:4b,,,,,,,,,,,,,,,ok,
,gemma3:4b,,,,,,,,,,,,,,,ok,
,gemma3:4b,,,,,,,,,,,,,,,ok,
,gemma3:4b,,,,,,,,,,,,,,,ok,
,gemma3:4b,,,,,,,,,,,,,,,ok,
,llama3:8b,,,,,,,,,,,,,,,ok,
,llama3:8b,,,,,,,,,,,,,,,ok,
,llama3:8b,,,,,,,,,,,,,,,ok,
,llama3:8b,,,,,,,,,,,,,,,ok,
,llama3:8b,,,,,,,,,,,,,,,ok,
,llama3:8b,,,,,,,,,,,,,,,ok,
,llama3:8b,,,,,,,,,,,,,,,ok,
,llama3:8b,,,,,,,,,,,,,,,ok,
,llama3:8b,,,,,,,,,,,,,,,ok,
,qwen3.5:latest,,,,,,,,,,,,,,,ok,
,qwen3.5:latest,,,,,,,,,,,,,,,ok,
,qwen3.5:latest,,,,,,,,,,,,,,,ok,
,qwen3.5:latest,,,,,,,,,,,,,,,ok,
,qwen3.5:latest,,,,,,,,,,,,,,,ok,
,qwen3.5:latest,,,,,,,,,,,,,,,ok,
,qwen3.5:latest,,,,,,,,,,,,,,,ok,
,qwen3.5:latest,,,,,,,,,,,,,,,ok,
,qwen3.5:latest,,,,,,,,,,,,,,,ok,
,qwen2.5-coder:14b,,,,,,,,,,,,,,,ok,
,qwen2.5-coder:14b,,,,,,,,,,,,,,,ok,
,qwen2.5-coder:14b,,,,,,,,,,,,,,,ok,
,qwen2.5-coder:14b,,,,,,,,,,,,,,,ok,
,qwen2.5-coder:14b,,,,,,,,,,,,,,,ok,
,qwen2.5-coder:14b,,,,,,,,,,,,,,,ok,
,qwen2.5-coder:14b,,,,,,,,,,,,,,,ok,
,qwen2.5-coder:14b,,,,,,,,,,,,,,,ok,
,qwen2.5-coder:14b,,,,,,,,,,,,,,,ok,
